id,account,type,amount,atm_id
0,920781,DEPOSIT,200,10005
1,668826,BALANCE_CHECK,3000,10012
2,692833,BALANCE_CHECK,4000,10006
3,582753,RETRIEVAL,-150,10003
4,958114,SERVICE_PAY,-400,10013
5,298799,SERVICE_PAY,-500,10012
6,958114,DEPOSIT,600,10014
7,128682,SERVICE_PAY,-150,10002
8,901185,RETRIEVAL,-200,10007
9,540502,SERVICE_PAY,-50,10001
10,808797,BALANCE_CHECK,4000,10005
11,951743,SERVICE_PAY,-50,10004
12,252817,SERVICE_PAY,-50,10012
13,724465,BALANCE_CHECK,2000,10005
14,942111,SERVICE_PAY,-50,10008
15,583825,RETRIEVAL,-150,10007
16,332784,RETRIEVAL,-50,10015
17,435486,DEPOSIT,200,10011
18,816398,SERVICE_PAY,-500,10006
19,639253,SERVICE_PAY,-400,10005
20,412892,RETRIEVAL,-350,10000
21,944947,BALANCE_CHECK,3000,10013
22,429023,DEPOSIT,800,10009
23,839647,SERVICE_PAY,-500,10011
24,383634,DEPOSIT,700,10015
25,419101,SERVICE_PAY,-450,10011
26,944947,SERVICE_PAY,-350,10007
27,730873,SERVICE_PAY,-450,10008
28,802009,RETRIEVAL,-400,10013
29,577157,BALANCE_CHECK,5000,10013
30,808797,DEPOSIT,900,10007
31,413828,SERVICE_PAY,-500,10015
32,215204,BALANCE_CHECK,500,10011
33,790232,DEPOSIT,500,10000
34,912189,DEPOSIT,400,10013
35,453604,SERVICE_PAY,-300,10003
36,913099,SERVICE_PAY,-450,10004
37,357229,RETRIEVAL,-250,10006
38,353550,DEPOSIT,300,10008
39,413828,SERVICE_PAY,-250,10000
40,368908,RETRIEVAL,-400,10005
41,371086,DEPOSIT,100,10002
42,368908,DEPOSIT,700,10007
43,693293,RETRIEVAL,-100,10011
44,298799,SERVICE_PAY,-50,10002
45,946596,SERVICE_PAY,-150,10006
46,435486,RETRIEVAL,-200,10009
47,973810,DEPOSIT,1000,10003
48,754991,BALANCE_CHECK,2000,10011
49,438446,BALANCE_CHECK,3000,10009
50,182500,BALANCE_CHECK,4000,10002
51,913099,SERVICE_PAY,-50,10015
52,540502,BALANCE_CHECK,4000,10010
53,182500,RETRIEVAL,-50,10009
54,973810,SERVICE_PAY,-150,10004
55,956433,RETRIEVAL,-250,10007
56,116647,DEPOSIT,100,10000
57,540502,DEPOSIT,800,10005
58,724465,SERVICE_PAY,-200,10013
